canonical_handle,canonical_handle_source,liquipedia_page_title,liquipedia_url,resolution_status,resolution_confidence,account_ids,steam_ids,observed_names,liquipedia_handles,legal_names,romanized_names,tournament_count,tournaments,resolution_evidence,scope_role,primary_tournaments,supplemental_tournaments
BeaR,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,BeaR,,,,1,Electronic Sports World Cup 2011,observed_name_only,primary_only,Electronic Sports World Cup 2011,
belalking,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,belalking,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
Bentzer,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Bentzer | bentzer,,,,2,Electronic Sports World Cup 2011 | DreamHack Winter 2011,observed_name_only,primary_only,Electronic Sports World Cup 2011 | DreamHack Winter 2011,
Bl00DAnGeL,liquipedia_player_infobox.id,Bl00DAnGeL,https://liquipedia.net/dota2/Bl00DAnGeL,resolved_with_player_page_and_ids,high,86924586,76561198047190314 (derived),Bl00DAnGeL | Bl00DAnGel,Bl00DAnGeL | BloodAngel | BlooDAnGeL,Вадим Трушкин,Vadim Trushkin,2,Dota2 Star Championship | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,StarLadder StarSeries Season 1,Dota2 Star Championship
BlackMoon,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,BlackMoon,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
Blitzennn,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Blitzennn,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
Bomben,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Bomben,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
bonzajaj,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,71983243,76561198032248971 (derived),bonzajaj,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
Bouncy,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Bouncy,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
BuLba,liquipedia_player_infobox.id,BuLba,https://liquipedia.net/dota2/BuLba,resolved_with_player_page_and_ids,high,30237211,76561197990502939 (derived),BuLba,BuLba | flow | BuLba-SaUr,ಕನಿಶ್ಕ ಸೋಸಲೆ,Kanishka Sosale,1,The Defense Season 1,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1,
Buugi,liquipedia_player_infobox.id,Buugi,https://liquipedia.net/dota2/Buugi,resolved_with_player_page_and_ids,high,24009418,76561197984275146 (derived),Buugi,Buugi,Joni Fält,,1,The Defense Season 1,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1,
CalculuS,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,CalculuS,,,,3,The International 2011 | Electronic Sports World Cup 2011 | DreamHack Winter 2011,observed_name_only,primary_with_supplemental,Electronic Sports World Cup 2011 | DreamHack Winter 2011,The International 2011
Ceb,liquipedia_player_infobox.id,Ceb,https://liquipedia.net/dota2/Ceb,resolved_with_player_page_and_ids,high,88271237,76561198048536965 (derived),7ckngMad | 7ckngmad,Ceb | Fuckingmad | Madshka | 7Mad | 7ckngMad,Sébastien Félix Albert Debs,,6,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | Dota2 Star Championship | JeeDota2 Championship #1 | joinDOTA Masters I,player_page_infobox | teamcard_account_id | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | JeeDota2 Championship #1 | joinDOTA Masters I,Dota2 Star Championship
celdo,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,4945631,76561197965211359 (derived),celdo,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
Chibix,liquipedia_player_infobox.id,Chibix,https://liquipedia.net/dota2/Chibix,resolved_with_player_page_and_ids,high,89654154,76561198049919882 (derived),Chibix33,Chibix | Chibix33 | Chibi,Joel Chan Jian Yong,,1,Malaysia Invitational,player_page_infobox | player_page_account_id,primary_only,Malaysia Invitational,
